week_start,country,series,revenue_eur,lower_80,upper_80
2024-09-01,DE,actual,4891.15,,
2024-09-08,DE,actual,5717.6,,
2024-09-15,DE,actual,5898.79,,
2024-09-22,DE,actual,6079.61,,
2024-09-29,DE,actual,6559.92,,
2024-10-06,DE,actual,5758.78,,
2024-10-13,DE,actual,5520.21,,
2024-10-20,DE,actual,5949.84,,
2024-10-27,DE,actual,6439.97,,
2024-11-03,DE,actual,5715.63,,
2024-11-10,DE,actual,6265.28,,
2024-11-17,DE,actual,9622.07,,
2024-11-24,DE,actual,9020.32,,
2024-12-01,DE,actual,9560.57,,
2024-12-08,DE,actual,10361.0,,
2024-12-15,DE,actual,9207.16,,
2024-12-22,DE,actual,12638.71,,
2024-12-29,DE,actual,9852.97,,
2025-01-05,DE,actual,9009.98,,
2025-01-12,DE,actual,9254.56,,
2025-01-19,DE,actual,9434.82,,
2025-01-26,DE,actual,8930.96,,
2025-02-02,DE,actual,10482.13,,
2025-02-09,DE,actual,10974.6,,
2025-02-16,DE,actual,10203.79,,
2025-02-23,DE,actual,10873.19,,
2025-03-02,DE,actual,15119.08,,
2025-03-09,DE,actual,14509.02,,
2025-03-16,DE,actual,10822.32,,
2025-03-23,DE,actual,10925.25,,
2025-03-30,DE,actual,11707.93,,
2025-04-06,DE,actual,10689.53,,
2025-04-13,DE,actual,9671.5,,
2025-04-20,DE,actual,10058.91,,
2025-04-27,DE,actual,9137.99,,
2025-05-04,DE,actual,10583.63,,
2025-05-11,DE,actual,11074.35,,
2025-05-18,DE,actual,9122.75,,
2025-05-25,DE,actual,9777.15,,
2025-06-01,DE,actual,8574.17,,
2025-06-08,DE,actual,9350.55,,
2025-06-15,DE,actual,9946.24,,
2025-06-22,DE,actual,9130.02,,
2025-06-29,DE,actual,10333.33,,
2025-07-06,DE,actual,11712.07,,
2025-07-13,DE,actual,10170.88,,
2025-07-20,DE,actual,10023.91,,
2025-07-27,DE,actual,10808.95,,
2025-08-03,DE,actual,11612.99,,
2025-08-10,DE,actual,11202.6,,
2025-08-17,DE,actual,10786.9,,
2025-08-24,DE,actual,12840.19,,
2025-08-31,DE,actual,10397.3,,
2025-09-07,DE,actual,15187.04,,
2025-09-14,DE,actual,17535.66,,
2025-09-21,DE,actual,22054.12,,
2025-09-28,DE,actual,16039.91,,
2025-10-05,DE,actual,15623.73,,
2025-10-12,DE,actual,14615.84,,
2025-10-19,DE,actual,13705.27,,
2025-10-26,DE,actual,12118.39,,
2025-11-02,DE,actual,16233.66,,
2025-11-09,DE,actual,15918.43,,
2025-11-16,DE,actual,17501.64,,
2025-11-23,DE,actual,17597.69,,
2025-11-30,DE,actual,19273.31,,
2025-12-07,DE,actual,17447.02,,
2025-12-14,DE,actual,17551.4,,
2025-12-21,DE,actual,23049.21,,
2025-12-28,DE,actual,17219.47,,
2026-01-04,DE,actual,16037.24,,
2026-01-11,DE,actual,13646.36,,
2026-01-18,DE,actual,15779.4,,
2026-01-25,DE,actual,14270.86,,
2026-02-01,DE,actual,12786.2,,
2026-02-08,DE,actual,14472.47,,
2026-02-15,DE,actual,12589.68,,
2026-02-22,DE,actual,14764.43,,
2026-03-01,DE,actual,18633.15,,
2026-03-08,DE,actual,22264.83,,
2026-03-15,DE,actual,26738.02,,
2026-03-22,DE,actual,19362.9,,
2026-03-29,DE,actual,19021.25,,
2026-04-05,DE,actual,16597.68,,
2026-04-12,DE,actual,15117.53,,
2026-04-19,DE,actual,16260.31,,
2026-04-26,DE,actual,14399.8,,
2026-05-03,DE,actual,13845.08,,
2026-05-10,DE,actual,16680.76,,
2026-05-17,DE,actual,13957.15,,
2026-05-24,DE,actual,13918.74,,
2026-05-31,DE,actual,17357.44,,
2026-06-07,DE,actual,16184.25,,
2026-06-14,DE,actual,13195.45,,
2026-06-21,DE,actual,11459.21,,
2026-06-28,DE,actual,13649.43,,
2026-07-05,DE,actual,12881.87,,
2026-07-12,DE,actual,15287.18,,
2026-07-19,DE,actual,14648.11,,
2026-07-26,DE,actual,15444.47,,
2026-08-02,DE,actual,15199.08,,
2026-08-09,DE,actual,16771.25,,
2026-08-16,DE,actual,18491.96,,
2026-08-23,DE,actual,19935.06,,
2026-08-30,DE,forecast,20321.2392,17459.2212,23212.7339
2026-09-06,DE,forecast,21902.6547,18883.9666,24775.0363
2026-09-13,DE,forecast,24893.8897,21898.745,27830.8441
2026-09-20,DE,forecast,30685.1329,27740.5149,33673.413
2026-09-27,DE,forecast,23830.3642,20966.7665,26765.7259
2026-10-04,DE,forecast,22100.4395,19227.4733,25036.62
2026-10-11,DE,forecast,20833.1295,17947.3419,23724.7796
2026-10-18,DE,forecast,19930.3944,17093.2243,22902.4798
2026-10-25,DE,forecast,19851.1586,16915.1253,22807.8721
2026-11-01,DE,forecast,20768.8234,17780.1341,23693.2799
2026-11-08,DE,forecast,22508.6649,19492.7467,25473.7308
2026-11-15,DE,forecast,24621.4032,21649.4668,27516.075
2026-11-22,DE,forecast,24853.624,21963.2568,27911.6608
2026-11-29,DE,forecast,26125.609,23192.2871,29062.0138
2026-12-06,DE,forecast,27603.6931,24621.4294,30583.5161
2026-12-13,DE,forecast,25325.5089,22351.6485,28226.6053
2026-12-20,DE,forecast,30880.977,27928.0676,33750.9471
2024-09-01,IT,actual,4163.47,,
2024-09-08,IT,actual,3727.95,,
